s_no,brand_name,description
1,DKNY,"Black and grey printed medium trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, zip lining, two compression straps with click clasps, one zip compartment on the flap with three zip pocketsWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer"
2,EthnoVogue,"Beige & Grey made to measure kurta with churidar and dupattaBeige made to measure calf length kurta, has a V-neck, three-quarter sleeves, lightly padded on bust, flared hem, concealed zip closureGrey solid made to measure churidar, drawstring closureGrey net sequined dupatta, has printed tapingWhat is Made to Measure?Customised Kurta Set according to your Bust and Length. So please refer to the Size Chart to pick your perfect size.How to measure bust?Measure under your arms and around your chest to find your bust size in inchesHow to measure Kurta length?Measure from shoulder till barefoot to find kurta length in"
3,3,"Pink coloured wash 5-pocket high-rise cropped jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops"
4,Raymond,"Blue self-design bandhgala suitBlue self-design bandhgala blazer, has a mandarin collar, single breasted with full button placket, long sleeves, three pockets, an attached lining and a double-vented back hemBlue self-design mid-rise trousers, has a zip fly with a button and a hook-and-bar closure, four pockets, a waistband with belt loops"
5,Parx,"Brown and off-white printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
6,SHOWOFF,"Brown solid low-rise regular shorts, has four pockets, a button closure"
5,Parx,"Blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
3,3,"Burgundy coloured wash 5-pocket high-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops"
5,Parx,Brown solid regular trousers regular trousers
1,DKNY,"Black solid large trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, zip lining, two compression straps with click clasps and one zip pocketOne exterior zip pocketWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer"
7,Kenneth Cole,Navy Blue backpackNon-Padded haul loop1 main compartment with zip closurePadded backZip PocketPadded shoulder strap: PaddedWater-resistance: No
5,Parx,"Green printed T-shirt, has a polo collar, and short sleeves"
8,Police,To Be The King Eau De Toilette 
9,Vishudh,"Maroon printed kurta with palazzos Maroon straight calf length kurta, has a round neck, three-quarter sleeves, straight hem, side slitsMaroon  Printed palazzos, has elasticated waistband, slip-on closure"
5,Parx,"Red checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
10,Being Human,"Navy blue printed casual shirt, has a spread collar, a full button placket, two pockets, long sleeves, a curved hem"
11,Homesake,Type: Handcrafted Table Lamp with ShadeColour: Gold-Toned and whitePattern: SolidShape: FrustumShade material: FabricBase material: AluminiumBulb Holder Type: E27Switch Type: Toggle ButtonComes with bulb
12,SEJ by Nisha Gupta,Set content: 6 table mats Shape: Rectangle Colour: Mustard and blue Pattern: Printed Suitable For: 6 seater table Material: Cotton 
13,YAK YAK,"Camel brown solid T-shirt, has polo collar, short sleeves"
